Team,Nationality,Position,Age,Potential,Name
Real Madrid ,Belgium,Portero,28,Muy bueno,Thibaut Courtois
FC Barcelona ,Spain,Medio centro ofensivo,32,Muy bueno,Sergio Busquets
Arsenal ,Gabon,Delantero Centro|Medio izquierdo,31,Muy bueno,Pierre-Emerick Aubameyang
Real Madrid ,France,Delantero Centro|Media punta,32,Muy bueno,Karim Benzema
Inter ,Slovenia,Portero,36,Muy bueno,Samir Handanovic
FC Barcelona ,Spain,Defensa central,33,Muy bueno,Piqué
Juventus ,Italy,Defensa central,35,Muy bueno,Giorgio Chiellini
Manchester City ,Portugal,Medio centro|Medio centro ofensivo|Extremo izquierdo,25,Sobresaliente,Bernardo Silva
FC Bayern München ,Germany,Lateral derecho|Medio centro ofensivo|Medio centro,25,Sobresaliente,Joshua Kimmich
Manchester City ,France,Defensa central,26,Sobresaliente,Aymeric Laporte
Juventus ,Argentina,Medio centro ofensivo|Media punta,26,Sobresaliente,Paulo Dybala
Tottenham Hotspur ,Korea Republic,Medio izquierdo|Media punta,28,Muy bueno,Heung Min Son
Paris Saint-Germain ,Italy,Medio centro ofensivo|Medio centro,27,Muy bueno,Marco Verratti
Manchester United ,France,Medio centro ofensivo|Medio centro,27,Muy bueno,Paul Pogba
Paris Saint-Germain ,Costa Rica,Portero,33,Muy bueno,Keylor Navas
Lazio ,Italy,Delantero Centro,30,Muy bueno,Ciro Immobile
Inter ,Denmark,Medio derecho|Medio centro|Medio centro ofensivo,28,Muy bueno,Christian Eriksen
Valencia CF ,Spain,Medio centro,31,Muy bueno,Parejo
Borussia Dortmund ,Germany,Medio centro ofensivo|Media punta,31,Muy bueno,Marco Reus
Juventus ,Poland,Portero,30,Muy bueno,Wojciech Szczesny
Paris Saint-Germain ,Argentina,Extremo izquierdo|Extremo izquierdo,32,Muy bueno,Ángel Di María
Inter ,Uruguay,Defensa central,34,Muy bueno,Diego Godín
Borussia Dortmund ,Germany,Defensa central,31,Muy bueno,Mats Hummels
Napoli ,Belgium,Delantero Centro|Media punta,33,Muy bueno,Dries Mertens
Manchester City ,Spain,Medio centro|Medio centro ofensivo,34,Muy bueno,David Silva
Tottenham Hotspur ,France,Portero,33,Muy bueno,Hugo Lloris
Paris Saint-Germain ,Brazil,Defensa central,35,Muy bueno,Thiago Silva
Borussia Dortmund ,England,Medio derecho|Medio izquierdo|Medio centro ofensivo,20,Sobresaliente,Jadon Sancho
Inter ,Slovakia,Defensa central,25,Sobresaliente,Milan Škriniar
FC Barcelona ,Netherlands,Medio centro,23,Sobresaliente,Frenkie de Jong
Manchester City ,Germany,Extremo izquierdo,24,Sobresaliente,Leroy Sané
FC Barcelona ,France,Defensa central,25,Sobresaliente,Clément Lenglet
Liverpool ,Scotland,Lateral izquierdo,26,Muy bueno,Andrew Robertson
Manchester United ,Portugal,Medio centro|Medio centro ofensivo,25,Muy bueno,Bruno Fernandes
RB Leipzig ,Germany,Delantero Centro,24,Muy bueno,Timo Werner
Liverpool ,Brazil,Medio centro ofensivo,26,Muy bueno,Fabinho
Leicester City ,England,Delantero Centro,33,Muy bueno,Jamie Vardy
Ajax ,Morocco,Medio centro ofensivo|Extremo izquierdo,27,Muy bueno,Hakim Ziyech
Paris Saint-Germain ,Brazil,Defensa central|Medio centro ofensivo,26,Sobresaliente,Marquinhos
Manchester City ,Algeria,Medio derecho|Extremo izquierdo,29,Muy bueno,Riyad Mahrez
Real Madrid ,France,Defensa central,27,Muy bueno,Raphaël Varane
Paris Saint-Germain ,Argentina,Delantero Centro,27,Muy bueno,Mauro Icardi
Napoli ,Italy,Medio izquierdo|Media punta|Extremo izquierdo,29,Muy bueno,Lorenzo Insigne
Atlético Madrid ,Spain,Medio derecho|Medio izquierdo|Medio centro,28,Muy bueno,Koke
Inter ,Belgium,Delantero Centro,27,Muy bueno,Romelu Lukaku
FC Bayern München ,Spain,Medio centro ofensivo|Medio centro,29,Muy bueno,Thiago
FC Barcelona ,Spain,Lateral izquierdo,31,Muy bueno,Jordi Alba
Juventus ,Italy,Defensa central,33,Muy bueno,Leonardo Bonucci
Tottenham Hotspur ,Belgium,Defensa central,31,Muy bueno,Toby Alderweireld
Juventus ,Bosnia & Herzegovina,Medio centro ofensivo|Medio centro,30,Muy bueno,Miralem Pjanic
Paris Saint-Germain ,Uruguay,Delantero Centro,33,Muy bueno,Edinson Cavani
Borussia Mönchengladbach ,Switzerland,Portero,31,Muy bueno,Yann Sommer
Atalanta ,Argentina,Delantero Centro|Medio centro ofensivo|Media punta,32,Muy bueno,Alejandro Gómez
Juventus ,Netherlands,Defensa central,20,Sobresaliente,Matthijs de Ligt
Manchester City ,Spain,Medio centro ofensivo|Medio centro,24,Muy bueno,Rodri
Liverpool ,England,Lateral derecho,21,Sobresaliente,Trent Alexander-Arnold
FC Barcelona ,Brazil,Medio centro,23,Sobresaliente,Arthur
Milan ,Italy,Portero,21,Sobresaliente,Gianluigi Donnarumma
Ajax ,Cameroon,Portero,24,Muy bueno,André Onana
Lazio ,Serbia,Medio centro ofensivo|Medio centro|Medio centro ofensivo,25,Sobresaliente,Sergej Milinkovic-Savic
Real Betis ,France,Delantero Centro|Medio derecho|Medio centro ofensivo,27,Muy bueno,Nabil Fekir
Atlético Madrid ,Uruguay,Defensa central,25,Muy bueno,José María Giménez
FC Bayern München ,Germany,Defensa central,24,Sobresaliente,Niklas Süle
Atlético Madrid ,Spain,Lateral izquierdo|Medio izquierdo|Medio centro,25,Muy bueno,Saúl
FC Bayern München ,Germany,Medio derecho|Medio izquierdo|Extremo izquierdo,25,Muy bueno,Serge Gnabry
FC Barcelona ,France,Defensa central,26,Muy bueno,Samuel Umtiti
Real Madrid ,Spain,Lateral derecho,28,Muy bueno,Carvajal
Lazio ,Spain,Medio centro|Medio centro ofensivo|Media punta,27,Muy bueno,Luis Alberto
Inter ,Netherlands,Defensa central,28,Muy bueno,Stefan de Vrij
SL Benfica ,Portugal,Medio derecho|Medio centro,30,Muy bueno,Pizzi
Real Madrid ,Spain,Medio centro|Medio centro ofensivo|Extremo izquierdo,28,Muy bueno,Isco
RC Celta ,Spain,Delantero Centro|Extremo izquierdo,32,Muy bueno,Iago Aspas
Arsenal ,Germany,Portero,28,Muy bueno,Bernd Leno
FC Bayern München ,Germany,Medio derecho|Medio centro ofensivo|Extremo izquierdo,30,Muy bueno,Thomas Müller
FC Bayern München ,Brazil,Medio centro|Medio centro ofensivo|Extremo izquierdo,28,Muy bueno,Coutinho
Borussia Dortmund ,Switzerland,Portero,29,Muy bueno,Roman Bürki
Guangzhou Evergrande Taobao FC ,Brazil,Medio centro ofensivo|Medio centro|Medio centro ofensivo,32,Muy bueno,Paulinho
RB Leipzig ,Hungary,Portero,30,Muy bueno,Péter Gulácsi
Liverpool ,England,Medio centro ofensivo|Medio centro,30,Muy bueno,Jordan Henderson
Liverpool ,Netherlands,Medio centro ofensivo|Medio centro,29,Muy bueno,Georginio Wijnaldum
Borussia Dortmund ,Belgium,Medio centro ofensivo|Medio centro,31,Muy bueno,Axel Witsel
Real Madrid ,Wales,Delantero Centro|Extremo izquierdo|Extremo izquierdo,31,Muy bueno,Gareth Bale
Tottenham Hotspur ,Belgium,Lateral izquierdo|Defensa central,33,Muy bueno,Jan Vertonghen
FC Barcelona ,Croatia,Medio centro,32,Muy bueno,Ivan Rakitic
Juventus ,Argentina,Delantero Centro,32,Muy bueno,Gonzalo Higuaín
Manchester City ,Brazil,Defensa central|Medio centro ofensivo,35,Muy bueno,Fernandinho
Milan ,Sweden,Delantero Centro,38,Muy bueno,Zlatan Ibrahimovic
Bayer 04 Leverkusen ,Germany,Medio derecho|Medio centro ofensivo,21,Sobresaliente,Kai Havertz
Manchester United ,England,Delantero Centro|Medio izquierdo,22,Muy bueno,Marcus Rashford
Inter ,Argentina,Delantero Centro,22,Sobresaliente,Lautaro Martínez
Leicester City ,Nigeria,Medio centro ofensivo|Medio centro,23,Muy bueno,Wilfred Ndidi
FC Bayern München ,France,Lateral izquierdo|Defensa central,24,Muy bueno,Lucas Hernández
FC Bayern München ,France,Medio derecho|Medio izquierdo|Extremo izquierdo,24,Muy bueno,Kingsley Coman
FC Porto ,Brazil,Lateral izquierdo,27,Muy bueno,Alex Telles
Borussia Dortmund ,Germany,Medio izquierdo|Medio centro|Medio centro ofensivo,24,Muy bueno,Julian Brandt
Leicester City ,Portugal,Lateral derecho,26,Muy bueno,Ricardo Pereira
Atlético Madrid ,Ghana,Medio centro ofensivo|Medio centro,27,Muy bueno,Thomas Partey
FC Bayern München ,Germany,Medio centro ofensivo|Medio centro|Medio centro ofensivo,25,Muy bueno,Leon Goretzka
Atlético Madrid ,Brazil,Defensa central,31,Muy bueno,Felipe
Chelsea ,Croatia,Medio centro,26,Muy bueno,Mateo Kovacic
Chelsea ,Italy,Medio centro ofensivo|Medio centro,28,Muy bueno,Jorginho
Olympique Lyonnais ,Netherlands,Medio centro ofensivo|Media punta|Extremo izquierdo,26,Muy bueno,Memphis Depay
Atalanta ,Slovenia,Delantero Centro|Media punta,32,Muy bueno,Josip Ilicic
Napoli ,Brazil,Medio centro,29,Muy bueno,Allan
Lazio ,Italy,Defensa central,32,Muy bueno,Francesco Acerbi
Olympique Lyonnais ,Portugal,Portero,29,Muy bueno,Anthony Lopes
AS Monaco Football Club SA ,France,Delantero Centro,29,Muy bueno,Wissam Ben Yedder
Real Madrid ,Colombia,Medio derecho|Medio centro|Medio centro ofensivo,29,Muy bueno,James Rodríguez
FC Barcelona ,Brazil,Portero,31,Muy bueno,Neto
Paris Saint-Germain ,Senegal,Medio centro ofensivo|Medio centro,30,Muy bueno,Idrissa Gueye
Arsenal ,France,Delantero Centro,29,Muy bueno,Alexandre Lacazette
Napoli ,Greece,Defensa central,29,Muy bueno,Kostas Manolas
Juventus ,Brazil,Lateral izquierdo|Medio izquierdo,29,Muy bueno,Alex Sandro
Juventus ,Brazil,Medio izquierdo|Extremo izquierdo|Extremo izquierdo,29,Muy bueno,Douglas Costa
Real Betis ,Spain,Medio izquierdo|Medio centro|Medio centro ofensivo,29,Muy bueno,Canales
Shanghai SIPG FC ,Brazil,Medio centro|Medio centro ofensivo|Extremo izquierdo,28,Muy bueno,Oscar
Manchester City ,Germany,Medio centro ofensivo|Medio centro,29,Muy bueno,Ilkay Gündogan
Napoli ,Spain,Medio derecho|Extremo izquierdo,33,Muy bueno,José Callejón
Chelsea ,Spain,Lateral derecho|Lateral izquierdo|Defensa central,30,Muy bueno,Azpilicueta
FC Barcelona ,Chile,Medio centro ofensivo|Medio centro|Medio centro ofensivo,33,Muy bueno,Arturo Vidal
Roma ,Bosnia & Herzegovina,Delantero Centro,34,Muy bueno,Edin Dzeko
Sevilla FC ,Argentina,Medio centro ofensivo|Medio centro,32,Muy bueno,Éver Banega
Cagliari ,Belgium,Medio centro|Medio centro ofensivo|Media punta,32,Muy bueno,Radja Nainggolan
Real Madrid ,Brazil,Lateral izquierdo,32,Muy bueno,Marcelo
Lazio ,Brazil,Medio centro ofensivo,33,Muy bueno,Lucas Leiva
Juventus ,France,Medio centro ofensivo|Medio centro,33,Muy bueno,Blaise Matuidi
Torino ,Italy,Portero,33,Muy bueno,Salvatore Sirigu
Wolverhampton Wanderers ,Portugal,Medio centro,33,Muy bueno,João Moutinho
FC Barcelona ,France,Extremo izquierdo|Extremo izquierdo,23,Sobresaliente,Ousmane Dembélé
Grêmio ,Brazil,Medio centro ofensivo|Extremo izquierdo,28,Muy bueno,Ronaldo Cabrais
Grêmio ,Brazil,Defensa central,28,Muy bueno,Josué Chiamulera
Atlético Mineiro ,Brazil,Delantero Centro|Media punta,28,Muy bueno,Louri Beretta
Real Sociedad ,Spain,Extremo izquierdo|Extremo izquierdo,23,Muy bueno,Oyarzabal
Napoli ,Spain,Medio centro,24,Muy bueno,Fabián
Ajax ,Netherlands,Medio centro|Medio centro ofensivo,23,Muy bueno,Donny van de Beek
Roma ,Spain,Portero,25,Muy bueno,Pau López
Getafe CF ,Togo,Defensa central,28,Muy bueno,Dakonam Djené
SL Benfica ,Portugal,Medio derecho|Medio izquierdo,27,Muy bueno,Rafa
TSG 1899 Hoffenheim ,Croatia,Delantero Centro|Medio centro ofensivo,29,Muy bueno,Andrej Kramaric
Inter ,Croatia,Medio centro ofensivo|Medio centro,27,Muy bueno,Marcelo Brozovic
Atalanta ,Colombia,Delantero Centro,29,Muy bueno,Duván Zapata
Guangzhou Evergrande Taobao FC ,Brazil,Medio centro ofensivo|Extremo izquierdo,26,Muy bueno,Anderson Talisca
Lazio ,lbania,Portero,25,Muy bueno,Thomas Strakosha
Manchester United ,France,Delantero Centro,24,Muy bueno,Anthony Martial
Ajax ,Argentina,Lateral izquierdo,27,Muy bueno,Nicolás Tagliafico
Tottenham Hotspur ,England,Medio centro|Medio centro ofensivo,24,Muy bueno,Dele Alli
Milan ,Italy,Defensa central,25,Muy bueno,Alessio Romagnoli
SL Benfica ,Spain,Lateral izquierdo,24,Muy bueno,Grimaldo
Borussia Dortmund ,Portugal,Lateral izquierdo|Medio izquierdo|Medio centro,26,Muy bueno,Raphaël Guerreiro
Ajax ,Netherlands,Medio centro ofensivo|Extremo izquierdo,28,Muy bueno,Quincy Promes
Eintracht Frankfurt ,Serbia,Carrilero izquierdo|Medio izquierdo|Extremo izquierdo,27,Muy bueno,Filip Kostic
Atlético Madrid ,Belgium,Medio izquierdo,26,Muy bueno,Yannick Carrasco
Chelsea ,Spain,Portero,25,Muy bueno,Kepa
Medipol Basaksehir FK ,Bosnia & Herzegovina,Medio derecho,30,Muy bueno,Edin Višca
Napoli ,Poland,Delantero Centro,26,Muy bueno,Arkadiusz Milik
Real Sociedad ,Spain,Medio derecho|Media punta|Extremo izquierdo,28,Muy bueno,Portu
Olympique de Marseille ,France,Medio derecho|Extremo izquierdo,27,Muy bueno,Florian Thauvin
RB Leipzig ,Austria,Medio centro|Medio centro ofensivo,26,Muy bueno,Marcel Sabitzer
Wolverhampton Wanderers ,Mexico,Delantero Centro,29,Muy bueno,Raúl Jiménez
Atlético Madrid ,Montenegro,Defensa central,29,Muy bueno,Stefan Savic
Borussia Dortmund ,Belgium,Medio derecho|Medio izquierdo|Media punta,27,Muy bueno,Thorgan Hazard
Manchester United ,England,Defensa central,27,Muy bueno,Harry Maguire
Valencia CF ,Brazil,Defensa central,29,Muy bueno,Gabriel Paulista
Atlético Madrid ,Spain,Delantero Centro,27,Muy bueno,Morata
Everton ,France,Lateral izquierdo,27,Muy bueno,Lucas Digne
Ajax ,Serbia,Medio centro ofensivo|Media punta|Extremo izquierdo,31,Muy bueno,Dušan Tadic
Bayer 04 Leverkusen ,Chile,Medio centro ofensivo|Medio centro,31,Muy bueno,Charles Aránguiz
Paris Saint-Germain ,Spain,Medio centro ofensivo|Extremo izquierdo,28,Muy bueno,Pablo Sarabia
Crystal Palace ,Ivory Coast,Medio izquierdo|Media punta,27,Muy bueno,Wilfried Zaha
Valencia CF ,Spain,Delantero Centro,29,Muy bueno,Rodrigo
Real Betis ,Spain,Defensa central|Medio centro ofensivo,29,Muy bueno,Bartra
FC Bayern München ,Austria,Lateral izquierdo|Defensa central,28,Muy bueno,David Alaba
Liverpool ,Cameroon,Defensa central,28,Muy bueno,Joel Matip
Juventus ,Colombia,Lateral derecho|Medio derecho|Extremo izquierdo,32,Muy bueno,Juan Cuadrado
VfL Wolfsburg ,Belgium,Portero,28,Muy bueno,Koen Casteels
Bayer 04 Leverkusen ,Finland,Portero,30,Muy bueno,Lukáš Hrádecky
Ajax ,Netherlands,Lateral izquierdo|Defensa central|Medio centro ofensivo,30,Muy bueno,Daley Blind
Athletic Club ,Spain,Medio centro ofensivo|Extremo izquierdo|Extremo izquierdo,27,Muy bueno,Muniain
Eintracht Frankfurt ,Germany,Portero,30,Muy bueno,Kevin Trapp
Manchester City ,England,Lateral derecho,30,Muy bueno,Kyle Walker
Juventus ,Wales,Medio centro|Medio centro ofensivo,29,Muy bueno,Aaron Ramsey
Shanghai SIPG FC ,Austria,Delantero Centro,31,Muy bueno,Marko Arnautovic
Fenerbahçe SK ,Germany,Delantero Centro|Medio centro ofensivo,32,Muy bueno,Max Kruse
FC Bayern München ,Croatia,Medio izquierdo|Extremo izquierdo,31,Muy bueno,Ivan Perišic
Juventus ,Germany,Medio centro ofensivo|Medio centro,33,Muy bueno,Sami Khedira
Wolverhampton Wanderers ,Portugal,Portero,32,Muy bueno,Rui Patrício
Arsenal ,Germany,Medio centro ofensivo|Extremo izquierdo,31,Muy bueno,Mesut Özil
Dalian YiFang FC ,Slovakia,Medio centro ofensivo|Medio centro|Medio centro ofensivo,33,Muy bueno,Marek Hamšík
Valencia CF ,Argentina,Defensa central,33,Muy bueno,Ezequiel Garay
LAFC ,Mexico,Medio centro ofensivo|Extremo izquierdo|Extremo izquierdo,31,Muy bueno,Carlos Vela
Olympique de Marseille ,France,Portero,35,Muy bueno,Steve Mandanda
Leicester City ,Denmark,Portero,33,Muy bueno,Kasper Schmeichel
Villarreal CF ,Spain,Defensa central,34,Muy bueno,Raúl Albiol
Villarreal CF ,Spain,Medio centro ofensivo|Medio izquierdo|Medio centro,35,Muy bueno,Santi Cazorla
Juventus ,Italy,Portero,42,Muy bueno,Gianluigi Buffon
Free Agents ,Uruguay,Medio derecho|Medio centro ofensivo,28,Muy bueno,José María Sildero
Free Agents ,Uruguay,Defensa central,28,Muy bueno,Egidio Maestre Schetino
SL Benfica ,Portugal,Defensa central,23,Muy bueno,Rúben Dias
Real Madrid ,Uruguay,Medio centro ofensivo|Medio centro,22,Sobresaliente,Federico Valverde
SV Werder Bremen ,Czech Republic,Portero,28,Muy bueno,Jirí Pavlenka
Borussia Dortmund ,Morocco,Lateral derecho|Lateral izquierdo|Medio derecho,21,Muy bueno,Achraf Hakimi
Real Madrid ,Serbia,Delantero Centro,22,Muy bueno,Luka Jovic
Manchester City ,Brazil,Delantero Centro,23,Muy bueno,Gabriel Jesus
Flamengo ,Brazil,Delantero Centro,28,Muy bueno,Oswaldinato
Palmeiras ,Brazil,Delantero Centro|Medio centro ofensivo|Media punta,24,Muy bueno,Nuno Padrenda
Atlético Mineiro ,Brazil,Medio centro ofensivo|Medio centro|Medio centro ofensivo,20,Muy bueno,Rosberto Dourado
Cruzeiro ,Brazil,Defensa central|Medio centro ofensivo,24,Muy bueno,Juiano Mestres
Grêmio ,Brazil,Portero,32,Muy bueno,Raphaelito Anjos
Manchester United ,England,Carrilero derecho|Lateral derecho|Extremo izquierdo,22,Muy bueno,Aaron Wan-Bissaka
Borussia Mönchengladbach ,Switzerland,Defensa central|Medio centro ofensivo|Medio centro,23,Muy bueno,Denis Zakaria
FC Barcelona ,Portugal,Lateral derecho,26,Muy bueno,Nélson Semedo
Tottenham Hotspur ,Argentina,Medio centro|Medio centro ofensivo,24,Muy bueno,Giovani Lo Celso
Arsenal ,Ivory Coast,Medio derecho|Extremo izquierdo,25,Muy bueno,Nicolas Pépé
Tottenham Hotspur ,Netherlands,Medio centro ofensivo|Extremo izquierdo|Extremo izquierdo,22,Muy bueno,Steven Bergwijn
Paris Saint-Germain ,France,Defensa central,24,Muy bueno,Presnel Kimpembe
Liverpool ,England,Lateral derecho|Defensa central,23,Muy bueno,Joe Gomez
Valencia CF ,Portugal,Delantero Centro|Medio izquierdo,23,Muy bueno,Gonçalo Guedes
Sporting CP ,Argentina,Lateral izquierdo|Extremo izquierdo,28,Muy bueno,Marcos Acuña
Wolverhampton Wanderers ,Portugal,Medio centro,23,Muy bueno,Rúben Neves
Getafe CF ,Spain,Portero,27,Muy bueno,David Soria
Real Sociedad ,Norway,Medio derecho|Medio centro|Medio centro ofensivo,21,Muy bueno,Martin Ødegaard
Liverpool ,Guinea,Medio centro ofensivo|Medio centro,25,Muy bueno,Naby Keïta
Real Madrid ,Spain,Extremo izquierdo|Extremo izquierdo,24,Muy bueno,Marco Asensio
Tottenham Hotspur ,Colombia,Defensa central,24,Muy bueno,Davinson Sánchez
Leicester City ,England,Medio centro|Medio centro ofensivo|Extremo izquierdo,23,Muy bueno,James Maddison
Newcastle United ,Slovakia,Portero,31,Muy bueno,Martin Dúbravka
FC Bayern München ,France,Medio centro ofensivo|Medio centro,25,Muy bueno,Corentin Tolisso
Napoli ,Italy,Delantero Centro|Medio derecho|Extremo izquierdo,26,Muy bueno,Matteo Politano
Athletic Club ,Spain,Delantero Centro|Extremo izquierdo,26,Muy bueno,Iñaki Williams
LOSC Lille ,France,Portero,25,Muy bueno,Mike Maignan
Atlético Madrid ,Argentina,Delantero Centro|Medio derecho,25,Muy bueno,Ángel Correa
Atlético Madrid ,France,Medio derecho|Medio izquierdo|Medio centro ofensivo,24,Muy bueno,Thomas Lemar
Olympique Lyonnais ,France,Delantero Centro,24,Muy bueno,Moussa Dembélé
Manchester City ,Portugal,Lateral derecho,26,Muy bueno,João Cancelo
Juventus ,France,Medio centro ofensivo|Medio centro,25,Muy bueno,Adrien Rabiot
D. Alavés ,Spain,Portero,28,Muy bueno,Pacheco
Torino ,Italy,Delantero Centro,26,Muy bueno,Andrea Belotti
Borussia Dortmund ,Germany,Medio centro ofensivo|Medio centro,26,Muy bueno,Emre Can
Villarreal CF ,Spain,Delantero Centro|Medio derecho,28,Muy bueno,Gerard Moreno
Atlanta United ,Venezuela,Delantero Centro,27,Muy bueno,Josef Martínez
Borussia Mönchengladbach ,Germany,Defensa central,26,Muy bueno,Matthias Ginter
Real Betis ,Portugal,Medio centro ofensivo|Medio centro,28,Muy bueno,William Carvalho
West Ham United ,France,Delantero Centro,26,Muy bueno,Sébastien Haller
Chelsea ,Germany,Defensa central,27,Muy bueno,Antonio Rüdiger
Bayer 04 Leverkusen ,Germany,Medio derecho,30,Muy bueno,Karim Bellarabi
Paris Saint-Germain ,Germany,Medio centro|Medio centro ofensivo|Extremo izquierdo,26,Muy bueno,Julian Draxler
West Ham United ,Brazil,Medio izquierdo|Medio centro ofensivo,27,Muy bueno,Felipe Anderson
Tottenham Hotspur ,Brazil,Medio derecho|Media punta,27,Muy bueno,Lucas Moura
FC Porto ,Portugal,Medio centro ofensivo|Medio centro,28,Muy bueno,Danilo Pereira
Real Madrid ,Spain,Lateral derecho|Lateral izquierdo|Defensa central,30,Muy bueno,Nacho Fernández
Bayer 04 Leverkusen ,Germany,Delantero Centro|Extremo izquierdo|Extremo izquierdo,27,Muy bueno,Kevin Volland
Villarreal CF ,Spain,Delantero Centro,26,Muy bueno,Paco Alcácer
Valencia CF ,Netherlands,Portero,31,Muy bueno,Jasper Cillessen
FC Barcelona ,Spain,Lateral derecho|Medio centro,28,Muy bueno,Sergi Roberto
Beijing Sinobo Guoan FC ,DR Congo,Delantero Centro,29,Muy bueno,Cédric Bakambu
Genoa ,Italy,Portero,27,Muy bueno,Mattia Perin
Real Sociedad ,Brazil,Delantero Centro,28,Muy bueno,Willian José
TSG 1899 Hoffenheim ,Germany,Portero,30,Muy bueno,Oliver Baumann
PFC CSKA Moscow ,Russia,Carrilero derecho|Medio derecho|Extremo izquierdo,29,Muy bueno,Mário Fernandes
Borussia Dortmund ,Denmark,Medio centro ofensivo|Medio centro,28,Muy bueno,Thomas Delaney
FC Porto ,Mexico,Lateral derecho|Medio derecho,27,Muy bueno,Jesús Corona
Real Madrid ,France,Portero,27,Muy bueno,Alphonse Areola
Real Sociedad ,Spain,Medio centro ofensivo|Medio centro,30,Muy bueno,Illarramendi
Shakhtar Donetsk ,Brazil,Medio izquierdo|Medio centro ofensivo,32,Muy bueno,Taison
Roma ,Serbia,Lateral izquierdo,34,Muy bueno,Aleksandar Kolarov
Sevilla FC ,Brazil,Medio centro ofensivo|Medio centro,33,Muy bueno,Fernando
Galatasaray SK ,Uruguay,Portero,34,Muy bueno,Fernando Muslera
Chelsea ,Brazil,Medio derecho|Extremo izquierdo|Extremo izquierdo,31,Muy bueno,Willian
Atlético Madrid ,Spain,Delantero Centro,31,Muy bueno,Diego Costa
Villarreal CF ,Spain,Portero,31,Muy bueno,Sergio Asenjo
FC Bayern München ,Spain,Defensa central|Medio centro ofensivo,31,Muy bueno,Javi Martínez
Olympique de Marseille ,France,Medio centro ofensivo|Extremo izquierdo,33,Muy bueno,Dimitri Payet
FC Porto ,Spain,Defensa central,33,Muy bueno,Marcano
Beijing Sinobo Guoan FC ,Brazil,Medio izquierdo|Medio centro|Medio centro ofensivo,32,Muy bueno,Renato Augusto
Jiangsu Suning FC ,Brazil,Defensa central,35,Muy bueno,Miranda
AS Saint-Étienne ,France,Portero,33,Muy bueno,Stéphane Ruffier
Galatasaray SK ,Colombia,Delantero Centro,34,Muy bueno,Falcao
Fiorentina ,France,Medio izquierdo|Media punta|Extremo izquierdo,37,Muy bueno,Franck Ribéry
Atlético Madrid ,Mexico,Medio centro,30,Muy bueno,Héctor Herrera
Sevilla FC ,Spain,Lateral derecho|Medio derecho,34,Muy bueno,Jesús Navas
RSC Anderlecht ,Belgium,Defensa central,34,Muy bueno,Vincent Kompany
FC Porto ,Portugal,Defensa central,37,Muy bueno,Pepe
Vissel Kobe ,Spain,Medio izquierdo|Medio centro|Medio centro ofensivo,36,Muy bueno,Iniesta
Free Agents ,Ecuador,Delantero Centro,31,Muy bueno,Segundo Mandíquez
Free Agents ,Uruguay,Delantero Centro|Media punta,28,Muy bueno,Luis Roberto Dálves
