Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Drama, Horror, Mystery",en,2021-10-28,6.4,discover; could; smalltown,Antlers
"Action, Thriller",en,2021-11-05,6.4,deadly; demise; quest,Dangerous
"Romance, Drama",en,2021-09-01,7.2,able; Not; everything,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,dangerous; technology; tranquil,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,thwart; albeit; cop,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,dog; dying; learns,Finch
"Thriller, Horror",es,2021-07-23,5.4,wake; naked; each,Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,Ryder; Mayor; Humdinger,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,Thanos; six; power,Avengers: Infinity War
"Fantasy, Action",en,1989-06-23,7.2,seizes; nemesis; underworld,Batman
"Action, Adventure, Science Fiction",en,2021-07-07,7.5,darker; Natasha; relationships,Black Widow
"Animation, Comedy",en,2022-02-18,5.7,Mouse; three; magical,The Wonderful Winter of Mickey Mouse
"Action, Crime, Thriller, Adventure",en,2021-05-19,7.3,ever; encountered; forsaken,F9
"Action, Adventure, Science Fiction",en,2022-02-03,5.9,sends; know; Earth,Moonfall
"Comedy, Drama",es,2022-02-04,2.2,lovelove; Their; those,"Sex, Shame and Tears 2"
"Animation, Comedy, Family",en,2021-12-03,6.5,ambitious; middle; survive,Diary of a Wimpy Kid
"Comedy, Romance, Science Fiction",th,2022-02-15,5.3,real; software; win,AI Love You
"Action, Science Fiction, Comedy, Family",en,2022-03-30,0.0,Green; emerald; search,Sonic the Hedgehog 2
"Mystery, Family",en,2022-02-17,5.7,Nina; Opal; leap,Erax
"Animation, Action, Adventure, Science Fiction",en,2020-08-04,6.9,tries; HIVE; wrath,Deathstroke: Knights & Dragons - The Movie
"Action, Drama, History",en,2021-10-13,7.6,VI; duel; dispute,The Last Duel
"Action, Adventure, Comedy, History",ko,2022-01-26,6.6,crew; bandits; gutsy,The Pirates: The Last Royal Treasure
"Horror, Mystery, Thriller",en,2021-10-29,6.5,realize; secluded; filmmaker,Paranormal Activity: Next of Kin
"Drama, Crime, Thriller",en,2021-11-24,6.8,ambition; reckless; humble,House of Gucci
"Romance, Horror, Thriller",ru,2021-02-11,6.7,husband; strikes; heartbroken,Dark Spell
"Action, Adventure, Comedy, Fantasy",en,2021-07-28,7.6,heal; Amazon; holds,Jungle Cruise
"Action, Fantasy, Science Fiction",en,2021-03-24,7.8,Earth; Godzilla; sets,Godzilla vs. Kong
"Action, Adventure, Fantasy",en,2012-06-23,6.7,fathers; Peter; Like,The Amazing Spider-Man
"Romance, Crime",en,2022-02-17,5.6,Nikkis; together; dangerous,Heart Shot
"Action, Adventure, Fantasy, Science Fiction",en,2009-12-10,7.5,following; alien; moon,Avatar
"Animation, Action, Drama, Science Fiction",ja,2021-06-11,7.8,enemy; fate; leads,Mobile Suit Gundam Hathaway
"Crime, Comedy",en,2021-10-27,6.9,aspiring; bank; apocalypse,Army of Thieves
"Drama, Romance",tr,2022-02-23,5.2,student; tragedy; falls,UFO
"Thriller, Mystery",en,2022-03-03,5.9,unsettling; during; what,The Weekend Away
"Animation, Family, Adventure, Fantasy, Comedy",en,2020-11-25,7.6,live; also; neighbors,The Croods: A New Age
"Animation, Family, Adventure, Comedy",en,2021-12-03,7.7,monsters; escape; reptile,Back to the Outback
"Action, Science Fiction, Adventure",en,2021-07-02,8.0,alien; Thirty; desperate,The Tomorrow War
"Family, Comedy",en,2022-01-28,6.9,Super; win; Warner,Home Team
Drama,en,2021-03-17,7.4,Quinton; forever; navigate,The Fallout
"Family, Fantasy, Animation, Action, Adventure",en,2021-03-03,8.0,lone; same; humanity,Raya and the Last Dragon
"Science Fiction, Action, Thriller",en,2021-09-09,6.8,come; rescue; secret,Infinite
"Action, Crime, Thriller",en,2021-04-22,7.7,during; Los; security,Wrath of Man
"Crime, Action, Thriller",en,2021-12-17,6.2,revolves; officer; son,Fortress
"Family, Animation, Comedy, Science Fiction",en,2021-07-08,7.1,Tunes; Bugs; son,Space Jam: A New Legacy
"TV Movie, Mystery, Thriller, Comedy",es,2022-01-13,7.3,case; 24; Eugenio,Laura y el misterio del asesino inesperado
"Horror, Mystery, Thriller",en,2021-05-25,7.7,anything; Paranormal; Warren,The Conjuring: The Devil Made Me Do It
"Action, Crime, Drama",en,2005-06-10,7.7,dedicates; corruption; within,Batman Begins
"Romance, Comedy",en,2022-01-20,6.8,speak; runs; fellow,The Royal Treatment
"Animation, Comedy, Family, Fantasy",en,2021-11-12,7.5,With; imposing; concerned,Ciao Alberto
"TV Movie, Thriller, Crime",en,2021-06-05,7.8,mysteriously; wealthy; Dulos,Gone Mom: The Disappearance of Jennifer Dulos
Horror,en,2021-06-28,6.6,solve; join; secret,Ripper Untold
"Horror, Science Fiction, Drama, Thriller",fr,2021-05-26,6.1,section; every; 8,Meander
"Thriller, War",en,2021-11-18,5.3,encounters; rebel; terrorist,Zeros and Ones
"Action, Adventure",en,2021-07-22,6.8,called; allegiance; revealed,Snake Eyes: G.I. Joe Origins
"Action, Thriller, Crime",en,2021-10-08,5.8,Eric; bust; drugdealing,Survive the Game
"Animation, Fantasy, Music, Adventure, Comedy, Family",en,2021-05-28,5.2,journey; Keegan; Riverdance,Riverdance: The Animated Adventure
"Action, Thriller, Science Fiction",en,2021-11-12,5.4,chance; offered; accepts,Apex
"Documentary, Crime",en,2022-02-02,7.1,millions; online; payback,The Tinder Swindler
"Romance, Comedy",tr,2022-02-11,6.7,designerblogger; unusual; make,Love Tactics
"Animation, Adventure, Comedy, Family",en,2021-10-01,7.2,sorts; characters; Addams,The Addams Family 2
"Action, Adventure, Fantasy",cn,2021-04-27,6.5,commonalty; rise; Han,Dynasty Warriors
"Animation, Comedy, Family, Adventure",fr,2021-05-15,7.9,On; Shanghai; Adrien,Miraculous World: Shanghai – The Legend of Ladydragon
"Animation, Family, Comedy, Adventure, TV Movie",fr,2020-11-21,8.3,During; whom; Cat,"Miraculous World: New York, United HeroeZ"
Documentary,en,2022-03-03,6.9,worsening; prides; power,Surviving Paradise: A Family Tale
"Animation, Action, Fantasy, Adventure",ja,2019-12-20,8.4,…; islands; Deku,My Hero Academia: Heroes Rising
"War, History, Drama",en,2021-11-04,6.5,now; defend; kingdom,Amina
"Adventure, Drama",en,2021-12-03,6.4,need; behind; dangerous,Encounter
"Horror, Thriller",en,2021-08-06,6.0,forces; contracts; terrifying,Son
"Action, Adventure, Fantasy",en,2020-12-16,6.6,powers; powerful; force,Wonder Woman 1984
"Action, Adventure, Fantasy",en,2014-04-16,6.5,taking; protect; high,The Amazing Spider-Man 2
Horror,th,2021-12-02,6.5,grandparents’; wall; siblings,The Whole Truth
"Animation, Action, Crime",en,2022-02-07,6.2,both; steal; squarely,Catwoman: Hunted
"Drama, History, War",en,2016-10-07,8.2,Battle; American; history,Hacksaw Ridge
Action,zh,2021-05-06,7.3,run; under; circumstances,Crazy Fist
"Adventure, Fantasy",en,2001-11-16,7.9,deaths—and; Witchcraft; Harry,Harry Potter and the Philosopher's Stone
"Science Fiction, Action, Adventure",en,2012-04-25,7.7,disaster; director; recruitment,The Avengers
"Horror, Fantasy, Mystery",en,2021-06-15,6.1,taken; looking; Wales,Dragon Fury
"Horror, Drama",es,2021-07-29,5.1,cabin; deeply; baby,Tarumama
"Action, Adventure, Fantasy, Science Fiction",en,2016-10-25,7.4,destroyed; sorcerer; gets,Doctor Strange
"Horror, Thriller",en,2021-10-14,6.8,fights; vigilante; mob,Halloween Kills
Horror,en,2022-02-10,5.6,saint; until; final,The Exorcism of God
"Action, Adventure, Science Fiction",en,2019-06-28,7.5,go; trip; summer,Spider-Man: Far From Home
Documentary,en,2022-01-01,8.0,beloved; conversations; film,Harry Potter 20th Anniversary: Return to Hogwarts
"Romance, Drama",en,2020-09-02,7.3,herself; faces; struggling,After We Collided
Thriller,en,2022-02-17,5.8,police; desperately; incident,The Desperate Hour
"Action, Animation, Science Fiction",ja,2015-04-18,6.8,Saiyans; Dragon; aim,Dragon Ball Z: Resurrection 'F'
"Animation, Family, Comedy",en,2021-10-28,7.1,international; skillful; seal,Seal Team
"Action, Mystery, Science Fiction, Thriller",en,2009-03-19,6.1,dug; events; plays,Knowing
"Fantasy, Horror, Thriller, Drama",en,2021-10-01,7.2,asylum; demons; witchcraft,Witch Hunt
"Action, Mystery, Science Fiction, Thriller",en,2014-09-10,7.2,community; join; “runners”,The Maze Runner
Horror,en,2021-03-31,6.8,around; small; near,The Unholy
"Action, Adventure, Thriller",ko,2019-12-19,6.6,across; mythical; unlikely,Ashfall
"Drama, Romance, Music",en,2022-02-11,5.8,teen; herself; Lennie,The Sky Is Everywhere
"Romance, Drama",en,2021-09-09,6.2,Vivien; physics; forces,Time Is Up
Horror,en,2021-06-30,6.5,What; lake; specialize,The Deep House
"Animation, Action, Comedy",ja,2015-08-07,7.7,busy; However; rises,Boruto: Naruto the Movie
"Adventure, Fantasy",en,2002-11-13,7.7,Potter; fight; Cars,Harry Potter and the Chamber of Secrets
"Action, Science Fiction, Comedy, Family",en,2020-02-12,7.4,hedgehog; Robotnik; franchise,Sonic the Hedgehog
"Family, Animation, Fantasy, Music, Comedy, Adventure",en,2017-10-27,8.2,de; talent; extraordinary,Coco
Drama,fr,2017-06-21,6.0,expected; summer; lose,Ava
"War, Drama, Action",en,2014-10-15,7.5,heart; World; overwhelming,Fury
"Thriller, Horror",en,2021-08-12,7.4,Man; orphaned; several,Don't Breathe 2
"Action, Comedy, Adventure",es,2021-10-01,7.8,amends; confronted; theft,Matando Cabos 2: La Máscara del Máscara
"Action, Fantasy, Adventure",en,2020-12-03,6.8,danger; soldiers; ferocity,Monster Hunter
"Action, Romance, Animation",ja,2014-12-06,7.9,rescue; Naruto; Hanabi,The Last: Naruto the Movie
"Action, Adventure, Science Fiction, Drama",en,2017-07-05,7.4,Peter; War; America,Spider-Man: Homecoming
"Science Fiction, Comedy",fr,2022-02-11,5.4,AI; Humans; 2045,Bigbug
"Fantasy, Action",en,2002-05-01,7.2,altered; Oscorp; Peter,Spider-Man
"Adventure, Science Fiction, Action",en,2019-04-24,8.3,efforts; events; remaining,Avengers: Endgame
"Thriller, Mystery, Horror",en,2021-07-21,6.6,tropical; secluded; somehow,Old
"Action, Science Fiction, Drama",en,2011-09-28,6.9,ring; son; estranged,Real Steel
"Romance, Comedy",ko,2022-02-11,6.3,consensual; relationship; play,Love and Leashes
"Romance, Drama",en,2019-04-11,7.2,meets; sweetheart; Hardin,After
"Horror, Action, Thriller",en,2021-06-30,7.3,past; instead; annual,The Forever Purge
"Comedy, Drama, Romance",en,2022-02-11,6.0,stand; those; rifts,Tall Girl 2
"Drama, Comedy",en,2022-02-17,8.3,friends; trip; funeral,Dog
"Drama, Science Fiction, Thriller",en,2007-12-12,7.2,incurable; survivors; unable,I Am Legend
"Animation, Action, Fantasy",ja,2007-08-04,7.2,so; Shion; Narutos,Naruto Shippuden the Movie
"Comedy, Family, Animation",en,2021-02-10,7.0,lose; hotel; employee,Tom & Jerry
"Adventure, History, Drama",en,2022-02-10,7.0,expedition; Denmark; 1909,Against the Ice
"Animation, Comedy",es,2021-08-12,8.1,gourmet; theyre; taken,An Egg Rescue
"Adventure, Fantasy, Family",en,2005-11-16,7.8,Tournament; maze; enchanted,Harry Potter and the Goblet of Fire
"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",ja,2021-02-11,8.1,While; Then; rapidly,Pretty Guardian Sailor Moon Eternal The Movie Part 2
"Horror, Thriller",en,2021-07-29,4.8,forces; daughter; terrifying,Demonic
"Animation, Family",en,2021-11-24,8.1,keep; beach; Northwest,Far From the Tree
"Horror, Thriller, Adventure, Mystery",en,2020-07-09,5.1,remote; tropical; also,Black Water: Abyss
"Animation, Drama, Romance",ja,2020-12-11,6.7,gets; announcer; incompetence,"Yes, No, or Maybe Half?"
"Family, Animation, Fantasy, Adventure, Comedy",en,2020-08-14,7.6,Patrick; madcap; friend,The SpongeBob Movie: Sponge on the Run
"Action, Adventure, Animation, Science Fiction",en,2018-12-06,8.4,transported; between; uses,Spider-Man: Into the Spider-Verse
"Adventure, Fantasy",en,2004-05-31,8.0,also; approaching; Black,Harry Potter and the Prisoner of Azkaban
"Crime, Action, Thriller",en,2021-03-03,7.1,just; under; country,The Vault
"Science Fiction, Adventure, Comedy",en,2022-03-09,6.0,crashlanding; pilot; Adam,The Adam Project
"Action, Adventure, Comedy",en,2016-02-09,7.6,Deadpool; Wilson; alter,Deadpool
Western,en,2021-10-22,6.7,sprung; ruthless; crime,The Harder They Fall
"Animation, Comedy, Family",en,2001-11-01,7.8,children; Sullivan; theyre,"Monsters, Inc."
"Adventure, Animation, Family, Fantasy",en,2021-02-09,7.1,goofy; oversized; spectacular,Ainbo: Spirit of the Amazon
"Comedy, Drama, Science Fiction",en,2021-12-07,7.2,planet; comet; giant,Don't Look Up
"Animation, Adventure, Comedy, Family",en,2017-06-15,6.8,Hornet; McQueen; eager,Cars 3
"Fantasy, Action, Adventure",en,2007-05-01,6.3,shapeshifting; Brock; Parker,Spider-Man 3
"Western, Action, Thriller",en,2021-12-03,6.4,shot; learns; attempts,Last Shoot Out
Horror,en,2019-07-21,5.4,claim; Secluded; Sator,Sator
"Adventure, Action, Science Fiction",en,2010-04-28,6.8,Pepper; invention; forge,Iron Man 2
"Animation, Comedy, Fantasy, Family",en,2020-12-25,8.2,soulsintraining; spent; gain,Soul
"Adventure, Action, Fantasy",en,2011-05-14,6.5,if; unexpected; fabled,Pirates of the Caribbean: On Stranger Tides
"Horror, Thriller",en,2021-02-28,5.4,fear; supervision; ultimate,Phobias
"Science Fiction, Thriller, Horror",en,2021-05-21,7.6,outside; realize; unknown,A Quiet Place Part II
"Horror, Drama, Thriller",it,1972-10-14,5.7,died; bathtub; authors,What the Peeper Saw
"Action, Crime",en,2023-04-06,0.0,Fast; installment; tenth,Fast & Furious 10
"Action, Crime, Drama, Thriller",en,2012-07-16,7.8,finest; Dents; Knight,The Dark Knight Rises
"Animation, Fantasy, Family",en,2021-11-26,7.6,Queen; annual; Poppy,Trolls Holiday in Harmony
"Action, Adventure, Fantasy",en,2016-03-23,5.9,than; it’s; Super,Batman v Superman: Dawn of Justice
"Thriller, Horror",en,2021-09-01,7.2,put; alone; isolated,Motherly
"Action, Crime, Thriller",en,2021-03-18,8.2,Hutchs; Mansell; dad,Nobody
"Animation, Action, Adventure, Fantasy",ja,2018-08-03,8.0,Class; currently; suddenly,My Hero Academia: Two Heroes
"Adventure, Fantasy",en,2009-07-07,7.7,lie; grip; information,Harry Potter and the Half-Blood Prince
"Comedy, Romance",en,2022-01-06,5.3,ends; ensures; rewritten,Book of Love
"Action, Science Fiction, Thriller",en,2021-08-26,5.0,Parker; adventurer; squad,Jurassic Hunt
Drama,en,2021-12-25,7.2,twotime; store; Hall,American Underdog
"Drama, Action, Crime, Thriller",en,2008-07-14,8.5,crime; chaos; Harvey,The Dark Knight
"Animation, Action, Adventure, Mystery",ja,2021-02-24,7.8,Since; how; exorcists,Jujutsu Kaisen 0
"Action, Crime, Drama, Thriller",en,2020-07-02,5.7,forced; goes; job,Ava
"Romance, Drama",es,2010-12-03,7.8,dragging; illegal; sense,Three Steps Above Heaven
"Comedy, Drama",ko,2021-08-11,7.1,Rain; filling; water,Sinkhole
"Action, Thriller",en,2010-05-22,7.5,fighters; feared; position,Undisputed III: Redemption
"Animation, Adventure, Family, Comedy",en,1995-10-30,8.0,Buzz; Woody; Lightyear,Toy Story
"Family, Fantasy, Adventure, Comedy, Horror",en,2020-10-25,6.5,same; goes; deceptively,Roald Dahl's The Witches
Comedy,es,2021-12-25,3.5,excursion; embarks; since,El Paseo 6
"Horror, Drama",en,2021-04-30,5.7,mother; solace; artist,Separation
"Animation, Science Fiction, Action",ja,2022-04-22,0.0,evil; Gamma; once,Dragon Ball Super: Super Hero
Romance,en,2022-08-25,0.0,met; each; simple,After Ever Happy
"Drama, Thriller, War",en,2009-01-22,7.1,Afghanistan; during; wife,Brothers
"Animation, Comedy, Fantasy, Adventure, Family",en,2001-05-18,7.7,wisecracking; donkey; named,Shrek
"Action, Comedy, Documentary",en,2022-02-01,7.1,dangerous; newcomers; gang,Jackass Forever
"Adventure, Family, Animation, Action, Comedy",en,2014-10-24,7.8,special; between; plussized,Big Hero 6
"Animation, Comedy, Fantasy",en,2021-04-02,7.5,pets; playtime; Drac,Monster Pets: A Hotel Transylvania Short
"Romance, Comedy",es,2015-03-03,6.2,soon; university; Two,Off Course
"Action, Adventure, Fantasy",en,2014-12-10,7.3,Erebors; events; Immediately,The Hobbit: The Battle of the Five Armies
"Action, Adventure",ru,2021-04-01,6.8,standing; policeman; daring,Major Grom: Plague Doctor
"Animation, Family",en,2021-01-13,7.1,Mila; Yaga; aided,Monster Family 2
"Action, Crime, Thriller",en,2021-07-14,6.4,no; turbulent; war,Gunpowder Milkshake
"Crime, Horror",ja,1986-01-18,4.0,until; apartment; sexually,Beautiful Sisters: Flesh Slave
"Action, Drama, Crime",en,2021-01-22,6.7,Writer; |; Derek,Narco Sub
"Adventure, Fantasy, Mystery",en,2007-06-28,7.7,Dark; truth; awaits,Harry Potter and the Order of the Phoenix
"Crime, Thriller",en,2015-09-09,6.9,murders; Ronnie; notoriety,Legend
"Animation, Comedy, Mystery, Family, Fantasy",en,2021-09-14,8.2,warriors; giant; hometown,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
"TV Movie, Animation, Comedy, Family, Drama",en,2021-08-13,7.0,do; I; continues,Descendants: The Royal Wedding
"Family, Animation, Adventure, Comedy, Fantasy",en,2019-11-20,7.3,ancient; Olaf; head,Frozen II
"Horror, Action",en,2021-08-13,7.5,house; rental; storm,Swim
"Drama, Science Fiction",zh,2021-08-27,6.6,plants; technology; getting,Mutation on Mars
"Science Fiction, Thriller, Mystery",en,2021-09-03,5.5,hired; stateoftheart; future,Zone 414
"Fantasy, Adventure",en,2011-07-07,8.1,magical; Hermione; Ron,Harry Potter and the Deathly Hallows: Part 2
"Action, Adventure, Science Fiction",en,2015-04-22,7.3,enacting; Earth’s; uneasy,Avengers: Age of Ultron
"Action, Adventure, Fantasy, Science Fiction",en,2017-10-24,7.6,ruthless; destruction; imprisoned,Thor: Ragnarok
"Horror, Fantasy",en,2019-09-04,6.9,Club; Derry; 27,It Chapter Two
"Family, Animation, Drama",en,1994-06-23,8.3,living; outcast; cast,The Lion King
"Drama, History",en,2021-11-18,8.0,Williams; tennis; coach,King Richard
"Thriller, Horror, Mystery",en,2021-10-21,7.5,falling; dazzling; able,Last Night in Soho
"Action, Fantasy",en,1992-06-19,6.9,transforms; Penguin; While,Batman Returns
"Adventure, Fantasy, Drama, Romance",en,2010-06-23,6.2,With; friendship; between,The Twilight Saga: Eclipse
"Crime, Drama, Thriller",en,2021-09-03,6.4,great; vengeance; Decades,Wild Indian
Comedy,en,2012-03-01,6.8,party; Three; spiral,Project X
Action,en,2021-08-19,6.6,whose; Anna; know,The Protégé
"Crime, Thriller, Drama, Action",en,2021-11-05,5.9,armed; son; turns,Ida Red
"Horror, Thriller",en,2013-01-14,5.6,old; daughter; room,The Haunting of Helena
"Action, Adventure, Crime",zh,2020-09-30,6.3,last; worlds; accountant,Vanguard
"Adventure, Fantasy, Action",en,2003-07-09,7.8,daughter; Sparrow; 18thcentury,Pirates of the Caribbean: The Curse of the Black Pearl
"Animation, Comedy, Family",en,2021-07-07,7.5,God; ultimate; event,"The Simpsons: The Good, the Bart, and the Loki"
"Action, Thriller, Crime",en,2021-01-15,7.0,quiet; reluctant; mother,The Marksman
"Adventure, Family, Drama",fr,2021-12-15,7.3,warnings; cannot; disappearance,Vicky and Her Mystery
"Animation, Adventure, Comedy, Fantasy",ja,2019-08-30,8.4,Demons; party; forces,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson
"Drama, Crime",pt,2021-10-22,7.1,human; impoverished; clutches,7 Prisoners
Documentary,es,2022-02-23,6.5,March; perpetrators; Madrid,11M
"Science Fiction, Action",ko,2021-04-12,7.6,involved; agent; intelligence,Seobok: Project Clone
"Animation, Family, Comedy, Fantasy, Adventure",en,2004-05-19,7.2,Fiona; everyone; off,Shrek 2
"Adventure, Fantasy, Family",en,2010-02-01,6.2,skills; Percy; Zeus,Percy Jackson & the Olympians: The Lightning Thief
"Romance, Animation, Drama",ja,2016-08-26,8.5,randomly; happen; Mitsuha,Your Name.
Comedy,en,2021-12-17,5.9,Chief; inheritance; anything,Chief Daddy 2: Going for Broke
"Adventure, Action, Science Fiction",en,2016-04-27,7.4,causes; governments; Captain,Captain America: Civil War
"Crime, Thriller, Drama",en,2019-10-02,8.2,driven; failed; During,Joker
"Crime, Drama, Thriller, Action",en,2012-12-20,6.6,unexpected; begins; note,Jack Reacher
"Comedy, Drama",it,2022-03-04,6.7,son; twist; occurs,The Invisible Thread
"Drama, Action, Thriller",en,2021-08-11,5.9,terror; SAS; Channel,SAS: Red Notice
"Adventure, Fantasy, Drama",en,2020-09-04,7.0,determined; serve; step,Mulan
"Comedy, Romance",en,2022-02-10,6.1,Emma; –; Peter,I Want You Back
"Adventure, Fantasy, Action",en,2006-07-06,7.3,Jack; Jones; Captain,Pirates of the Caribbean: Dead Man's Chest
Action,en,2009-09-29,6.5,whose; revenge; Taken,Ninja Assassin
"Crime, Drama, Comedy",en,2013-12-25,8.0,Belforts; large; stockbroker,The Wolf of Wall Street
"Animation, Adventure, Fantasy, Family, TV Movie",en,2021-12-30,7.4,again; wits; human,Hilda and the Mountain King
"Action, Adventure, Drama",ja,2021-06-04,7.8,burden; forever; change,Rurouni Kenshin: The Beginning
"Action, Adventure, Comedy",ml,2021-12-24,7.2,tailor; Kerala; foe,Minnal Murali
